,drug,withdrawn_class,smiles
205,calcitriol,0,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O
206,hydrochlorothiazide,0,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
207,montelukast sodium,0,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)[O-])CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1.[Na+]
208,rifampin,0,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C
209,pravastatin sodium,0,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21.[Na+]
210,lovastatin,0,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
211,tiagabine hydrochloride,0,Cc1ccsc1C(=CCCN1CCC[C@@H](C(=O)O)C1)c1sccc1C.Cl
212,clobetasol propionate,0,CCC(=O)O[C@]1(C(=O)CCl)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
213,benazepril hydrochloride,0,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O.Cl
214,sumatriptan succinate,0,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1.O=C(O)CCC(=O)O
215,lidocaine hydrochloride,0,CCN(CC)CC(=O)Nc1c(C)cccc1C.Cl.O
216,cefepime hydrochloride,0,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(C[N+]3(C)CCCC3)CS[C@H]12)c1csc(N)n1.Cl.O.[Cl-]
217,ketorolac tromethamine,0,NC(CO)(CO)CO.O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O
218,ziprasidone hydrochloride,0,Cl.O.O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1
219,clindamycin hydrochloride,0,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1.Cl
220,duloxetine,0,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1
221,levetiracetam,0,CC[C@@H](C(N)=O)N1CCCC1=O
222,sertraline hydrochloride,0,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21.Cl
223,diclofenac sodium,0,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[Na+]
224,diclofenac sodium- capsaicin,0,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[Na+]
225,diclofenac sodium topical gel- 1%-,0,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[Na+]
226,dexamethasone,0,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
227,timolol maleate,0,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1.O=C(O)/C=C\C(=O)O
228,timolol maleate ophthalmic gel forming solution,0,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1.O=C(O)/C=C\C(=O)O
229,methyl aminolevulinate hydrochloride,0,COC(=O)CCC(=O)CN.Cl
230,methylprednisolone acetate,0,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
231,atomoxetine hydrochloride,0,CNCC[C@@H](Oc1ccccc1C)c1ccccc1.Cl
232,diltiazem hydrochloride,0,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1.Cl
233,pramipexole dihydrochloride,0,CCCN[C@H]1CCc2nc(N)sc2C1.Cl.Cl.O
234,primaquine phosphate,0,COc1cc(NC(C)CCCN)c2ncccc2c1.O=P(O)(O)O.O=P(O)(O)O
235,chlorthalidone,0,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl
236,norethindrone,0,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C
